node_id,name,in_degree,out_degree,betweenness_centrality,clustering_coefficient,source_center,src_delay_minutes,src_sla_breaches,src_trips,destination_center,dest_delay_minutes,dest_sla_breaches,dest_trips,total_delay_minutes,total_sla_breaches,total_trips_handled,betweenness_rank,delay_rank,composite_rank
IND332713AAA,NeemKaThana_War5DPP_D (Rajasthan),1,2,7.926027966197076e-07,0.0,IND332713AAA,267.0,3.0,3.0,IND332713AAA,36.0,1.0,1.0,303.0,4.0,4.0,937.5,1110.0,1023.75
IND243201AAA,Baheri_HoliCDPP_D (Uttar Pradesh),2,1,0.0004087848923566142,1.0,IND243201AAA,86.0,2.0,2.0,IND243201AAA,155.0,2.0,2.0,241.0,4.0,4.0,646.5,1196.5,921.5
IND845305AAA,Raxaul_KairiyaT_D (Bihar),1,1,0.0008080585511537916,1.0,IND845305AAA,2421.0,14.0,14.0,IND845305AAA,881.0,15.0,15.0,3302.0,29.0,29.0,527.0,148.0,337.5
IND845412AAB,Chakia_Wardno10_D (Bihar),1,1,0.0,1.0,IND845412AAB,286.0,9.0,11.0,IND845412AAB,478.0,11.0,11.0,764.0,20.0,22.0,1290.0,636.0,963.0
IND638657AAA,Dharapuram_Techrcly_D (Tamil Nadu),1,1,1.743726152563357e-05,0.0,IND638657AAA,191.0,12.0,12.0,IND638657AAA,231.0,11.0,11.0,422.0,23.0,23.0,788.5,966.5,877.5
IND638701AAA,Kangayam_Thvlrsrt_D (Tamil Nadu),1,1,1.664465872901386e-05,0.0,IND638701AAA,416.0,12.0,12.0,IND638701AAA,191.0,12.0,12.0,607.0,24.0,24.0,793.5,753.0,773.25
IND641664AAA,Tirpur_Palladam_DC (Tamil Nadu),2,1,1.8229864322253276e-05,0.3333333333333333,IND641664AAA,231.0,11.0,11.0,IND641664AAA,155.0,10.0,10.0,386.0,21.0,21.0,782.5,1002.5,892.5
IND821109AAA,Mohania_Bhabua_D (Bihar),1,1,0.0008183623875098481,0.0,IND821109AAA,1067.0,8.0,8.0,IND821109AAA,203.0,4.0,4.0,1270.0,12.0,12.0,419.5,389.5,404.5
IND495004AAA,Bilaspur_Torwa_DC (Chhattisgarh),0,1,0.0,0.0,IND495004AAA,67.0,1.0,1.0,0,0.0,0.0,0.0,67.0,1.0,1.0,1290.0,1468.0,1379.0
IND272207AAB,Naugarh_Central_D_1 (Uttar Pradesh),0,1,0.0,0.0,IND272207AAB,102.0,3.0,3.0,0,0.0,0.0,0.0,102.0,3.0,3.0,1290.0,1394.0,1342.0
IND631003AAA,Arakkonam_HousngBd_D (Tamil Nadu),1,1,0.0,1.0,IND631003AAA,358.0,5.0,5.0,IND631003AAA,238.0,5.0,5.0,596.0,10.0,10.0,1290.0,762.5,1026.25
IND631501AAA,Kanchipuram_DC (Tamil Nadu),1,2,0.000409379344454079,1.0,IND631501AAA,1853.0,6.0,6.0,IND631501AAA,263.0,6.0,6.0,2116.0,12.0,12.0,618.5,230.0,424.25
IND700053AAA,CCU_New Alipore_DPC (West Bengal),2,3,0.0020350076803210995,0.16666666666666666,IND700053AAA,1229.0,11.0,11.0,IND700053AAA,1841.0,19.0,19.0,3070.0,30.0,30.0,183.0,160.0,171.5
